Model Name,Matching Word,Downloads,created_at,last_modified,contains_paper,paper_code,paper_code_clean
TheBloke/tulu-30B-GGUF,code generation,150,2023-09-20 02:43:18,2023-09-20 02:43:18,True,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751
sokada/codegen25-7b-multi-gguf-with-dummy-tokenizer,codegen,150,2023-11-29 13:12:01,2023-11-29 13:12:01,True,"[CodeGen2](https://arxiv.org/abs/2305.02309),",https://arxiv.org/abs/2305.02309
RichardErkhov/tokyotech-llm_-_Llama-3-Swallow-70B-v0.1-gguf,code generation,144,2024-09-05 12:43:01,2024-09-05 12:43:01,True,Corpus](https://arxiv.org/abs/2404.17733),https://arxiv.org/abs/2404.17733
RichardErkhov/SparseLLM_-_prosparse-llama-2-7b-gguf,code generation,144,2024-09-08 03:04:40,2024-09-08 03:04:40,True,[link](https://arxiv.org/pdf/2402.13516.pdf),https://arxiv.org/pdf/2402.13516
unsloth/Hermes-3-Llama-3.1-405B-bnb-4bit,code generation,140,2024-09-03 06:05:16,2024-09-03 06:05:16,True,Report**](https://arxiv.org/abs/2408.11857).,https://arxiv.org/abs/2408.11857
RichardErkhov/ibm-granite_-_granite-20b-code-base-r1.1-gguf,code generation,140,2024-09-17 05:20:46,2024-09-17 05:20:46,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
allenai/open-instruct-pythia-6.9b-tulu,code generation,139,2023-06-13 15:43:21,2023-06-13 15:43:21,True,Resources](https://arxiv.org/abs/2306.04751).,https://arxiv.org/abs/2306.04751
jncraton/codet5p-770m-py-ct2-int8,code generation,132,2023-07-08 20:47:01,2023-07-08 20:47:01,True,Generation](https://arxiv.org/pdf/2305.07922.pdf),https://arxiv.org/pdf/2305.07922
Finnish-NLP/Ahma-3B,code generation,131,2024-02-03 19:27:52,2024-02-03 19:27:52,True,paper](https://arxiv.org/abs/2302.13971),https://arxiv.org/abs/2302.13971
RichardErkhov/internlm_-_AlchemistCoder-L-7B-gguf,code generation,127,2024-09-19 23:58:16,2024-09-19 23:58:16,True,Paper](https://arxiv.org/abs/2405.19265)],https://arxiv.org/abs/2405.19265
com3dian/Bart-large-paper2slides-expander,code gen,125,2023-07-13 15:35:11,2023-07-13 15:35:11,True,Only](https://arxiv.org/abs/1711.00043)'.,https://arxiv.org/abs/1711.00043
parsak/phi-2-code-instruct-gguf,code-generation,116,2024-01-18 12:55:21,2024-01-18 12:55:21,True,(2019)](https://arxiv.org/abs/1910.09700).,https://arxiv.org/abs/1910.09700
RichardErkhov/ibm-granite_-_granite-20b-code-base-gguf,code generation,114,2024-06-04 01:18:38,2024-06-04 01:18:38,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
Bin12345/AutoCoder,code generation,114,2024-05-13 21:00:10,2024-05-13 21:00:10,True,https://arxiv.org/abs/2405.14906,https://arxiv.org/abs/2405.14906
QuantFactory/AutoCoder_S_6.7B-GGUF,code generation,113,2024-06-01 16:42:41,2024-06-01 16:42:41,True,https://arxiv.org/abs/2405.14906,https://arxiv.org/abs/2405.14906
QuantFactory/granite-3b-code-base-2k-GGUF,code generation,111,2024-09-07 15:18:40,2024-09-07 15:18:40,True,Intelligence](https://arxiv.org/abs/2405.04324),https://arxiv.org/abs/2405.04324
CISCai/OpenCodeInterpreter-DS-6.7B-SOTA-GGUF,code generation,107,2024-02-26 18:10:08,2024-02-26 18:10:08,True,"Execution""](https://arxiv.org/abs/2402.14658)",https://arxiv.org/abs/2402.14658
